DateTime,Scheduled flights,Tracked flights
3/21/20,770,678
3/22/20,794,680
3/23/20,802,537
3/24/20,791,447
3/25/20,774,362
3/26/20,790,400
3/27/20,789,361
3/28/20,748,349
3/29/20,784,366
3/30/20,787,340
3/31/20,772,326
4/1/20,758,376
4/2/20,772,370
4/3/20,776,458
4/4/20,738,360
4/5/20,762,370
4/6/20,757,381
4/7/20,696,311
4/8/20,677,316
4/9/20,687,339
4/10/20,673,344
4/11/20,626,298
4/12/20,651,317
4/13/20,598,359
4/14/20,598,337
4/15/20,622,311
4/16/20,636,286
4/17/20,647,307
4/18/20,568,249
4/19/20,583,267
